id;score;remarks;date_awarded
1;32283.57;advocate structure;2025-09-06T15:28:54
2;4449.56;unlike failing;2025-09-06T17:55:21
3;13265.17;adrenalin edge against;2025-09-06T12:46:05
4;15438.99;realistic;2025-09-07T03:27:08
5;1800.88;boo;2025-09-06T07:42:17
6;23443.16;disbar polite solidly;2025-09-07T02:49:25
7;30100.02;annex midst finally;2025-09-06T22:20:58
8;17368.99;slump weakly meanwhile;2025-09-07T06:09:29
9;26567.91;boohoo antagonize;2025-09-06T19:31:26
10;18583.16;rubbery ravage;2025-09-06T16:00:47
